entry_id,user_id,contest_id,entry_time,entry_fee,bonus_funds_used,cash_used,payout_amount,status
117,1162,424,2024-11-22 05:39:31,100,0,100,0,completed
118,916,346,2024-11-26 10:27:42,10,0,10,20,completed
119,2891,339,2024-12-12 03:01:24,100,0,100,0,completed
120,2978,89,2024-10-13 22:55:11,50,0,50,50,cancelled
121,1465,251,2024-11-12 18:59:16,50,0,50,0,completed
122,328,84,2024-09-26 07:42:25,5,0,5,0,completed
123,4515,149,2024-12-16 01:30:29,20,0,20,0,completed
124,731,42,2024-10-09 02:10:19,100,0,100,1000,completed
125,3087,331,2024-10-01 18:16:23,100,0,100,0,completed
126,2380,313,2025-01-19 07:19:12,20,0,20,0,completed
127,1162,228,2024-10-31 17:02:06,25,0,25,500,completed
128,2660,90,2024-10-10 15:30:29,25,0,25,0,completed
129,2844,105,2025-01-23 12:57:17,20,0,20,20,cancelled
130,1472,219,2024-11-11 11:04:48,20,0,20,30.0,completed
131,2726,210,2024-10-24 02:17:19,5,0,5,0,completed
132,1092,476,2025-01-06 10:27:41,100,0,100,300,completed
133,2515,437,2024-11-19 04:29:10,5,0,5,7.5,completed
134,2886,147,2024-12-02 16:49:55,25,25,0,25,cancelled
135,1544,438,2024-11-20 10:13:39,50,50,0,0,completed
136,223,251,2024-11-13 03:18:55,50,0,50,150,completed
137,2077,289,2024-11-01 21:23:10,25,0,25,25,cancelled
138,1604,351,2024-12-03 06:45:33,5,0,5,0,completed
139,1143,212,2024-10-19 21:27:17,50,0,50,0,completed
140,4729,337,2024-11-11 02:51:14,50,50,0,0,completed
141,119,171,2025-01-23 03:57:43,20,0,20,0,completed
142,4025,135,2024-10-24 13:13:19,5,0,5,0,completed
143,4291,92,2024-12-10 08:05:30,100,0,100,0,completed
144,1208,482,2024-09-27 02:21:21,50,0,50,0,completed
145,1683,289,2024-10-31 02:19:59,25,0,25,25,cancelled
146,928,154,2024-11-03 09:35:46,25,10,15,37.5,completed
147,353,318,2024-12-05 22:00:30,10,0,10,50,completed
148,4383,87,2024-09-12 14:53:54,10,0,10,50,completed
149,1903,109,2024-11-02 11:07:23,20,0,20,0,completed
150,3150,170,2024-10-17 10:16:28,50,0,50,0,completed
151,150,176,2024-11-22 22:35:11,20,20,0,0,completed
152,2571,125,2024-09-30 01:29:03,10,0,10,0,completed
153,3474,248,2025-01-09 16:24:18,5,0,5,0,completed
154,2575,172,2024-09-27 19:29:16,100,0,100,0,completed
155,2224,4,2025-01-03 04:19:09,50,35,15,0,completed
156,1305,247,2024-12-13 04:01:42,100,100,0,2000,completed
157,1608,247,2024-12-14 15:11:05,100,0,100,500,completed
158,4581,20,2024-10-24 01:39:11,100,0,100,100,cancelled
159,4254,210,2024-10-23 17:17:22,5,5,0,0,completed
160,2981,433,2024-11-06 18:55:15,50,0,50,0,completed
161,4260,281,2024-10-10 22:35:01,50,0,50,0,completed
162,1148,167,2024-10-18 20:28:13,50,0,50,0,completed
163,2802,450,2024-10-07 01:40:32,10,0,10,10,cancelled
164,902,452,2024-10-02 08:27:52,100,0,100,0,completed
165,3138,101,2024-10-25 05:12:09,5,0,5,,completed
166,1062,491,2025-01-13 02:49:04,50,50,0,50,cancelled
167,698,430,2024-11-06 12:22:04,10,0,10,0,completed
168,2436,292,2024-10-13 22:56:48,100,25,75,0,completed
169,4113,451,2025-01-20 19:25:38,10,0,10,0,completed
170,1875,453,2025-01-15 14:01:22,20,20,0,20,cancelled
171,3369,6,2025-01-08 20:13:20,20,0,20,20,cancelled
172,265,192,2024-10-21 22:08:56,10,10,0,10,cancelled
173,1536,226,2024-11-09 01:34:35,100,10,90,0,completed
174,2663,422,2024-11-30 19:44:14,50,0,50,0,completed
175,3820,444,2024-10-09 17:14:04,20,20,0,0,completed
176,2528,327,2024-11-20 03:14:58,50,0,50,0,completed
177,1476,413,2024-09-30 14:16:00,100,0,100,0,completed
178,2370,490,2024-11-09 10:02:11,10,10,0,0,completed
179,1018,256,2025-01-06 05:56:01,10,10,0,0,completed
180,1031,65,2024-11-11 09:21:08,10,0,10,10,cancelled
181,665,498,2024-10-30 15:33:28,25,0,25,0,completed
182,1706,422,2024-11-30 03:32:34,50,0,50,0,completed
183,3732,239,2024-10-27 15:56:13,100,0,100,0,completed
184,4753,237,2024-09-26 16:02:35,50,0,50,0,completed
185,1860,195,2024-12-30 18:58:37,25,0,25,125,completed
186,802,345,2024-09-04 11:38:07,5,0,5,15,completed
187,470,381,2024-11-16 20:45:51,10,0,10,20,completed
188,3690,75,2024-09-08 00:06:23,100,0,100,2000,completed
189,2484,205,2024-09-08 00:34:27,50,50,0,0,completed
190,1015,232,2024-09-09 07:33:22,25,0,25,0,completed
191,3310,432,2025-01-10 13:01:11,5,5,0,5,cancelled
192,4848,425,2024-12-07 01:25:15,100,0,100,0,completed
193,4748,219,2024-11-11 15:05:33,20,0,20,100,completed
194,297,9,2024-10-28 15:55:13,20,0,20,0,completed
195,2727,104,2025-01-11 05:06:41,20,0,20,0,completed
196,1243,470,2024-12-29 04:12:53,10,10,0,0,completed
197,2,79,2024-10-03 11:57:50,50,0,50,0,completed
198,3302,483,2024-11-13 07:19:31,50,50,0,0,completed
199,4693,31,2025-01-09 07:06:42,5,0,5,0,completed
200,129,82,2024-09-25 05:47:06,10,0,10,0,completed
201,1493,165,2024-12-05 11:37:20,20,20,0,0,completed
202,74,433,2024-11-06 09:55:20,50,0,50,0,completed
203,3585,416,2025-01-18 07:30:19,50,0,50,0,completed
204,2689,317,2024-09-02 20:00:31,100,0,100,0,completed
205,3241,173,2024-12-25 07:09:50,100,100,0,0,completed
206,1369,399,2024-11-28 06:16:03,25,0,25,0,completed
207,76,281,2024-10-11 17:21:23,50,0,50,0,completed
208,2175,268,2024-09-01 10:10:53,5,0,5,0,completed
209,517,263,2025-01-01 09:33:42,10,10,0,30,completed
210,286,202,2024-12-18 15:26:16,100,0,100,100,cancelled
211,877,453,2025-01-15 00:00:43,20,0,20,20,cancelled
212,4788,257,2024-11-15 15:41:28,5,0,5,0,completed
213,1442,458,2025-01-07 19:27:30,20,0,20,0,completed
214,4435,363,2024-11-25 18:16:15,10,0,10,30,completed
215,1270,470,2024-12-30 08:35:57,10,0,10,0,completed
216,4307,441,2024-11-14 02:44:38,50,5,45,150,completed
217,2657,370,2024-11-13 16:13:33,20,0,20,0,completed
218,2390,279,2024-09-28 17:09:44,10,0,10,0,completed
219,4175,102,2024-09-22 21:26:10,100,25,75,0,completed
220,2291,317,2024-09-04 00:25:46,100,0,100,0,completed
221,3991,68,2024-12-05 22:31:11,25,0,25,0,completed
222,1611,10,2025-01-09 06:11:24,25,25,0,0,completed
223,3126,35,2024-09-30 19:04:38,10,0,10,0,completed
224,3169,121,2024-11-06 19:47:44,10,0,10,10,cancelled
225,2807,281,2024-10-12 04:57:52,50,0,50,0,completed
226,1331,193,2024-09-01 21:06:47,5,0,5,0,completed
227,3405,80,2024-12-01 21:39:56,25,0,25,0,completed
228,4110,84,2024-09-26 15:14:14,5,0,5,0,completed
229,4507,71,2024-12-04 15:27:47,100,0,100,0,completed
230,2970,117,2024-10-12 09:52:47,50,0,50,100,completed
231,455,312,2024-11-26 06:58:03,10,0,10,0,completed
232,4908,466,2024-09-30 09:51:11,100,25,75,0,completed
233,2826,80,2024-12-03 03:13:49,25,0,25,37.5,completed
234,3754,36,2025-01-30 10:30:18,20,20,0,0,completed
235,2582,279,2024-09-28 03:38:16,10,10,0,50,completed
236,1688,186,2024-12-13 18:24:04,10,0,10,10,cancelled
237,2745,184,2024-10-16 14:00:05,10,0,10,30,completed
238,1569,135,2024-10-24 19:09:59,5,0,5,0,completed
239,473,314,2024-10-05 22:38:52,100,0,100,0,completed
240,4700,49,2024-09-10 03:29:33,20,0,20,0,completed
241,1233,413,2024-10-01 04:06:43,100,0,100,150.0,completed
242,263,416,2025-01-16 17:56:23,50,50,0,0,completed
243,4196,329,2024-10-27 08:59:46,10,0,10,200,completed
244,3405,100,2024-10-08 10:06:33,50,0,50,0,completed
245,2231,127,2024-09-27 10:30:12,20,0,20,0,completed
246,4399,289,2024-10-31 04:13:31,25,0,25,25,cancelled
247,731,231,2025-01-18 05:27:39,100,0,100,500,completed
248,2455,248,2025-01-09 19:57:43,5,0,5,0,completed
249,1147,243,2024-11-08 10:40:12,100,0,100,0,completed
250,539,58,2024-12-24 17:12:27,25,0,25,250,completed
251,3653,167,2024-10-18 11:33:10,50,10,40,0,completed
252,1104,424,2024-11-22 04:10:59,100,0,100,0,completed
253,4180,391,2024-10-05 05:35:54,10,10,0,30,completed
254,4897,178,2024-09-26 07:15:58,5,0,5,50,completed
255,3905,78,2024-10-01 13:58:50,100,25,75,100,cancelled
256,3546,465,2024-10-14 10:25:30,20,0,20,0,completed
257,603,369,2024-09-16 02:42:34,25,25,0,0,completed
258,4066,449,2025-01-07 15:09:05,50,5,45,0,completed
259,971,44,2024-11-19 18:40:49,100,0,100,0,completed
260,3247,86,2025-01-08 05:10:55,25,0,25,0,completed
261,2064,320,2024-10-18 14:32:24,100,0,100,0,completed
262,959,248,2025-01-09 16:17:02,5,5,0,,completed
263,3591,221,2024-10-13 17:19:22,100,0,100,0,completed
264,4835,414,2024-11-26 07:13:32,50,0,50,1000,completed
265,3995,116,2024-11-24 22:42:11,5,0,5,0,completed
266,675,302,2024-12-18 08:28:58,20,0,20,0,completed
267,3990,161,2024-11-23 07:33:42,20,0,20,0,completed
268,3074,195,2024-12-31 05:22:04,25,0,25,0,completed
269,502,454,2024-10-13 03:56:02,10,10,0,0,completed
270,2336,177,2024-10-06 07:38:47,50,50,0,0,completed
271,929,263,2024-12-31 21:57:43,10,0,10,0,completed
272,1335,37,2025-01-07 12:29:40,5,0,5,7.5,completed
273,308,499,2024-12-19 08:15:08,100,0,100,500,completed
274,2510,108,2025-01-27 02:59:59,5,0,5,0,completed
275,2664,102,2024-09-24 05:30:01,100,0,100,0,completed
276,2424,7,2024-11-01 06:00:45,20,0,20,0,completed
277,4601,297,2024-09-21 22:29:52,5,0,5,5,cancelled
278,4261,375,2025-01-09 15:56:57,100,0,100,0,completed
279,1146,415,2024-10-21 02:58:04,10,0,10,0,completed
280,3601,461,2024-12-31 22:09:36,5,0,5,100,completed
281,3675,30,2024-09-30 14:56:31,25,0,25,0,completed
282,4466,404,2025-01-19 18:50:59,50,0,50,0,completed
283,4757,255,2025-01-07 22:20:04,5,0,5,0,completed
284,139,307,2024-11-18 20:05:25,20,0,20,0,completed
285,1086,436,2025-01-01 03:39:35,20,0,20,20,cancelled
286,3232,294,2024-09-16 10:59:07,100,0,100,0,completed
287,2979,33,2024-12-08 11:36:45,20,0,20,0,completed
288,2178,190,2025-01-25 16:19:44,20,0,20,0,completed
289,1388,183,2024-09-28 19:19:35,100,0,100,100,cancelled
290,3414,5,2024-12-16 21:12:12,5,0,5,0,completed
291,811,49,2024-09-11 15:50:28,20,20,0,0,completed
292,3376,56,2024-12-07 22:54:16,50,0,50,0,completed
293,1979,153,2024-12-05 16:07:15,10,0,10,0,completed
294,678,76,2024-10-01 19:21:42,5,0,5,0,completed
295,3110,274,2024-09-09 02:10:39,20,0,20,0,completed
296,2194,415,2024-10-20 22:56:32,10,0,10,15.0,completed
297,3059,406,2024-10-31 23:32:05,100,0,100,0,completed
298,1164,362,2024-10-30 05:24:16,5,0,5,0,completed
299,4059,245,2024-11-12 00:56:29,10,10,0,0,completed
300,2985,431,2025-01-25 11:44:13,10,0,10,0,completed
301,2644,50,2024-12-07 18:41:53,100,0,100,1000,completed
302,747,326,2024-10-04 03:27:47,100,0,100,0,completed
303,4571,97,2024-12-23 22:20:48,10,0,10,0,completed
304,506,377,2024-10-03 09:14:08,20,0,20,0,completed
305,1165,275,2024-10-24 07:33:32,100,0,100,1000,completed
306,3986,199,2025-01-28 02:50:07,50,0,50,0,completed
307,4668,17,2025-01-21 15:10:05,5,0,5,5,cancelled
308,112,230,2024-09-18 15:18:41,10,0,10,0,completed
309,1798,100,2024-10-08 14:35:45,50,50,0,0,completed
310,3298,1,2024-09-16 14:32:55,50,0,50,0,completed
311,511,486,2024-09-25 21:39:01,5,5,0,5,cancelled
312,1951,470,2024-12-30 01:42:39,10,0,10,0,completed
313,3133,405,2024-10-10 15:00:27,100,100,0,0,completed
314,2331,29,2024-11-29 06:40:29,50,0,50,0,completed
315,4243,323,2024-10-15 06:31:06,20,0,20,0,completed
316,3473,34,2024-09-10 08:51:49,5,0,5,5,cancelled
317,2959,117,2024-10-12 15:48:13,50,50,0,0,completed
318,4664,268,2024-09-01 21:51:27,5,0,5,0,completed
319,2322,107,2024-10-04 06:15:18,10,0,10,20,completed
320,4005,346,2024-11-25 17:13:45,10,10,0,0,completed
321,170,233,2024-10-06 18:35:33,10,0,10,0,completed
322,1386,93,2024-12-26 15:19:47,100,0,100,2000,completed
323,4416,368,2024-10-10 09:13:15,50,0,50,0,completed
324,1208,161,2024-11-21 21:32:08,20,0,20,0,completed
325,2626,97,2024-12-25 02:31:20,10,0,10,0,completed
326,1953,167,2024-10-18 03:11:19,50,50,0,0,completed
327,104,222,2024-11-19 15:55:55,100,0,100,0,completed
328,1649,344,2024-09-03 05:37:25,100,0,100,0,completed
329,4333,54,2024-12-18 13:56:27,20,0,20,0,completed
330,4003,194,2024-11-03 05:18:43,10,0,10,100,completed
331,4519,204,2024-10-11 17:21:59,25,0,25,0,completed
332,3873,267,2024-12-04 07:36:49,100,0,100,0,completed
333,3947,362,2024-10-30 15:26:40,5,0,5,0,completed
334,4644,137,2025-01-14 13:23:45,10,10,0,0,completed
335,3414,475,2024-09-20 04:14:29,100,0,100,0,completed
336,4840,49,2024-09-10 06:04:27,20,0,20,0,completed
337,180,84,2024-09-26 21:35:38,5,5,0,0,completed
338,4382,45,2024-11-24 11:34:55,20,20,0,0,completed
339,662,250,2024-11-07 10:35:15,5,0,5,0,completed
340,4864,359,2024-12-08 20:51:49,20,20,0,40,completed
341,1511,480,2024-09-03 21:25:21,100,0,100,0,completed
342,1853,472,2025-01-16 01:19:46,10,0,10,10,cancelled
343,503,410,2024-10-17 19:20:45,20,0,20,0,completed
344,3596,361,2025-01-13 15:23:43,10,0,10,0,completed
345,3932,321,2024-10-15 17:46:55,10,0,10,0,completed
346,1088,262,2024-09-19 13:10:02,10,10,0,0,completed
347,2038,383,2024-08-30 14:37:09,5,0,5,5,cancelled
348,4056,376,2024-10-18 23:20:43,10,0,10,0,completed
349,1487,356,2025-01-04 06:04:50,5,0,5,5,cancelled
350,1855,367,2024-12-29 19:44:41,100,0,100,0,completed
351,1519,440,2024-09-27 15:39:03,10,0,10,0,completed
352,3948,30,2024-10-01 07:01:07,25,25,0,0,completed
353,2731,236,2024-12-27 14:44:02,10,10,0,50,completed
354,4847,139,2024-12-05 14:17:13,20,20,0,100,completed
355,4563,444,2024-10-10 08:46:25,20,0,20,0,completed
356,3010,379,2024-12-01 23:30:46,10,0,10,100,completed
357,3153,213,2024-09-29 14:01:41,25,25,0,0,completed
358,4229,475,2024-09-21 05:52:05,100,0,100,0,completed
359,2190,240,2024-11-24 06:16:25,5,5,0,0,completed
360,710,134,2024-09-19 15:51:50,20,0,20,0,completed
361,4715,184,2024-10-15 04:25:03,10,0,10,0,completed
362,1537,103,2024-12-14 03:38:27,50,0,50,0,completed
363,3707,395,2024-12-11 09:55:03,20,20,0,0,completed
364,2330,132,2025-01-10 10:04:41,20,0,20,0,completed
365,3467,265,2024-12-15 01:42:59,10,0,10,0,completed
366,2127,81,2024-10-21 21:04:28,20,0,20,0,completed
367,1021,451,2025-01-21 19:11:39,10,0,10,0,completed
368,638,221,2024-10-13 09:06:44,100,0,100,0,completed
369,332,9,2024-10-28 13:08:31,20,0,20,0,completed
370,2300,184,2024-10-16 02:20:31,10,0,10,0,completed
371,4229,355,2025-01-23 05:18:22,50,0,50,0,completed
372,3477,60,2024-10-18 13:52:20,5,0,5,5,cancelled
373,2332,450,2024-10-06 13:51:29,10,0,10,10,cancelled
374,4033,109,2024-11-01 20:21:27,20,20,0,400,completed
375,1551,275,2024-10-25 03:31:01,100,25,75,0,completed
376,4343,64,2025-01-15 13:41:57,100,0,100,0,completed
377,1861,27,2024-12-29 00:33:40,50,0,50,0,completed
378,1424,26,2024-10-17 15:34:20,5,0,5,0,completed
379,3506,309,2024-09-06 22:30:07,5,5,0,50,completed
380,3771,407,2024-10-17 22:11:42,10,0,10,10,cancelled
381,4039,110,2024-09-21 07:05:27,25,0,25,0,completed
382,1259,129,2024-10-12 05:36:31,25,0,25,500,completed
383,1130,153,2024-12-05 20:23:56,10,0,10,15.0,completed
384,299,353,2024-09-15 07:57:12,50,0,50,0,completed
385,4362,25,2025-01-29 10:30:41,20,0,20,20,cancelled
386,4553,41,2025-01-03 06:52:53,20,0,20,0,completed
387,3823,350,2024-10-08 00:56:13,10,0,10,10,cancelled
388,2301,493,2024-11-27 09:34:17,20,0,20,0,completed
389,3676,131,2024-10-06 06:19:47,20,0,20,0,completed
390,3392,489,2024-10-08 16:04:55,10,0,10,0,completed
391,927,436,2025-01-01 06:54:44,20,0,20,20,cancelled
392,1035,33,2024-12-09 00:37:24,20,20,0,0,completed
393,1664,138,2024-12-03 05:33:36,25,0,25,0,completed
394,1469,220,2024-11-29 00:24:52,100,0,100,0,completed
395,2573,291,2024-11-23 06:19:51,50,0,50,0,completed
396,3882,165,2024-12-05 20:07:00,20,20,0,0,completed
397,2811,456,2024-09-16 13:51:44,20,0,20,0,completed
398,3666,324,2024-11-19 13:49:01,5,0,5,0,completed
399,1924,268,2024-09-01 10:25:13,5,0,5,0,completed
400,4679,496,2024-12-06 23:35:52,20,0,20,0,completed
401,1275,484,2025-01-01 04:27:47,5,5,0,0,completed
402,3633,499,2024-12-18 11:50:03,100,0,100,0,completed
403,4896,357,2024-09-02 23:24:12,20,0,20,0,completed
404,1799,212,2024-10-18 12:36:05,50,50,0,0,completed
405,1161,468,2024-10-18 22:11:36,5,0,5,5,cancelled
406,2748,283,2025-01-21 06:25:39,25,0,25,500,completed
407,1225,151,2025-01-24 11:05:02,100,0,100,0,completed
408,46,471,2025-01-18 20:38:49,20,0,20,0,completed
409,1516,399,2024-11-28 06:19:29,25,0,25,0,completed
410,2125,387,2024-11-03 21:28:23,100,0,100,0,completed
411,657,333,2024-11-10 02:36:17,50,0,50,50,cancelled
412,1149,106,2024-10-18 00:17:52,25,0,25,0,completed
413,4621,115,2024-11-23 04:22:24,25,0,25,0,completed
414,3612,167,2024-10-18 23:24:41,50,0,50,250,completed
415,3518,254,2024-12-10 16:30:13,20,0,20,100,completed
416,3486,452,2024-10-01 07:47:06,100,10,90,0,completed
417,4260,459,2024-10-09 04:36:13,50,0,50,0,completed
418,1032,400,2024-11-08 21:44:38,25,0,25,0,completed
419,4377,88,2024-10-05 05:21:42,5,0,5,5,cancelled
420,1815,332,2024-10-05 18:19:57,100,0,100,0,completed
421,2876,137,2025-01-14 02:07:12,10,10,0,200,completed
422,61,138,2024-12-03 06:14:53,25,0,25,0,completed
423,1362,445,2025-01-19 14:16:45,20,0,20,20,cancelled
424,3571,433,2024-11-06 19:15:08,50,0,50,0,completed
425,3318,130,2024-10-21 07:21:10,5,5,0,5,cancelled
426,2162,197,2024-10-31 17:16:14,10,0,10,0,completed
427,3484,209,2025-01-04 11:55:46,100,0,100,,completed
428,1604,54,2024-12-18 09:26:38,20,0,20,0,completed
429,3009,272,2024-09-22 18:28:27,25,0,25,0,completed
430,3173,228,2024-10-31 11:02:12,25,0,25,0,completed
431,902,105,2025-01-25 03:47:18,20,0,20,20,cancelled
432,4820,251,2024-11-13 00:46:10,50,50,0,0,completed
433,4733,219,2024-11-10 14:05:07,20,0,20,0,completed
434,1781,302,2024-12-19 17:13:07,20,0,20,0,completed
435,3344,64,2025-01-14 13:34:33,100,0,100,0,completed
436,2644,140,2024-12-05 16:27:51,50,0,50,0,completed
437,645,206,2024-11-24 07:28:17,5,0,5,0,completed
438,2946,364,2024-12-23 14:10:59,5,0,5,50,completed
439,588,388,2024-11-23 20:27:51,10,10,0,0,completed
440,4893,249,2024-10-19 06:22:28,20,20,0,0,completed
441,4484,274,2024-09-09 10:19:52,20,0,20,0,completed
442,2982,54,2024-12-18 00:58:55,20,0,20,40,completed
443,1736,183,2024-09-29 22:20:15,100,0,100,100,cancelled
444,2683,69,2024-12-26 08:41:55,20,0,20,0,completed
445,4644,222,2024-11-18 19:18:59,100,0,100,150.0,completed
446,260,294,2024-09-16 23:09:22,100,0,100,0,completed
